name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B188ON22.4,B188ON22.4,500,B188ON22.4-500 (39).jpg,B188ON22.4-500  (8).jpg,1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
•It has a Copper metal base. 
•Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B188ON22.6,B188ON22.6,500,B188ON22.6-500  (2).jpg,B188ON22.6-500 (37).jpg,1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B189ON42.6,B189ON42.6,750,B189ON42.6-750 (34).jpg,B189ON42.6-750 (39).jpg,1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B189ON42.4,B189ON42.4,750,B189ON42.4-750 (34) - Copy.jpg,B189ON42.4-750  (7).jpg,1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B190ON22.6,B190ON22.6,800,B190ON22.6-800 (31) - Copy.jpg,"B190ON22.6-800 (13).jpg, B190ON22.6-800 (31).jpg, B190ON22.6-800 (40).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B190ON22.4,B190ON22.4,800,B190ON22.4-800 (31).jpg,"B190ON22.4-800 (13).jpg, B190ON22.4-800 (23).jpg , B190ON22.4-800 (19).jpg ",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,4,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B191ON22.6,B191ON22.6,500,B191ON22.6-500 (50) - Copy.jpg,"B191ON22.6-500 (39).jpg, B191ON22.6-500 (42).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B191ON22.4,B191ON22.4,500,B191ON22.4-500 (50).jpg,"B191ON22.4-500  (11).jpg, B191ON22.6-500 (48).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B192ON22.6,B192ON22.6,700,B192ON22.6-700.jpg,"B192ON22.6-700 (42).jpg, B192ON22.6-700 (89).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B192ON22.4,B192ON22.4,700,B192ON22.4-700 (57) - Copy.jpg,"B192ON22.4-700  (3).jpg, B192ON22.4-700  (26).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
