name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
Kundan and gold finish borla,B433AON,1700,B433AON - 1700 (6).jpg,"B433AON - 1700 (2).jpg, B433AON - 1700 (8).jpg, B433AON - 1700 (4).jpg",1,,,,Traditional and ethnic kundan and gold finish borla with gold beaded string.,,,,"Gold, rhodium pink.",,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
Gold finish borla,B465ON,1200,B465ON - 1200 (6).jpg,"B465ON - 1200 (2).jpg, B465ON - 1200 (8).jpg, B465ON - 1200 (4).jpg",1,,,,Simple and elegant gold finish round borla with crescent moon shaped drop. Look traditional with these gold beaded strings.,,,,Gold,,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
"Kundan, pearl and gold finish borla",B477AON,2650,B477AON - 2650 (6).jpg,"B477AON - 2650 (2).jpg, B477AON - 2650 (8).jpg, B477AON - 2650 (4).jpg",1,,,,"Exquisitely designed round borla with rhodolite, emerald kundan with a round kundan and pearl drop. Look traditional with pearl strings",,,,"Gold, Rhodolite, Emerald green, white kundan and pearl",,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
"Kundan, pearl and gold finish borla",B477ON,2650,B477ON - 2650 (6).jpg,"B477ON - 2650 (2).jpg, B477ON - 2650 (8).jpg, B477ON - 2650 (4).jpg",1,,,,"Exquisitely designed round borla with ruby, emerald kundan with a round kundan and pearl drop. Look traditional with pearl strings",,,,"Gold, Ruby, Emerald green, white kundan and pearl",,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
"Kundan, pearl and gold finish borla",B482AON,2600,B482AON - 2600 (6).jpg,"B482AON - 2600 (2).jpg, B482AON - 2600 (8).jpg, B482AON - 2600 (4).jpg",1,,,,Look traditional in these navratna kundan borla with pearl drop. Look royal in these 2 strings of pearl and gold.,,,,"Gold, multicolor kundan",,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
"Kundan, pearl and gold finish borla",B482BON,2600,B482BON - 2600 (6).jpg,"B482BON - 2600 (2).jpg, B482BON - 2600 (8).jpg, B482BON - 2600 (4).jpg",1,,,,"Look traditional in these white, pink and emerald kundan borla with pearl drop. Look royal in these 2 strings of pearl and gold.",,,,"Gold, white, pink, green kundan",,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
"Kundan, pearl and gold finish borla",B482CON,2600,B482CON - 2600 (6).jpg,"B482CON - 2600 (2).jpg, B482CON - 2600 (8).jpg, B482CON - 2600 (4).jpg",1,,,,"Look traditional in these white, rhodolite kundan borla with pearl drop. Look royal in these 2 strings of pearl and gold.",,,,"Gold, white, rhodolite kundan",,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,8,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
"Kundan, pearl and gold finish borla",B482ON,2600,B482ON - 2600 (6).jpg,"B482ON - 2600 (2).jpg,B482ON - 2600 (8).jpg,  B482ON - 2600 (4).jpg",1,,,,Look traditional in these white kundan borla with pearl drop. Look royal in these 2 strings of pearl and gold.,,,,"Gold, white kundan",,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
Gold finish borla with stones,BO22AON,1100,BO22A - 1100 (4).jpg,"BO22A - 1100 (2).jpg, BO22A - 1100 (6).jpg, BO22A - 1100 (8).jpg",1,,,,Gorgeous kundan and gold finished round borla with a crescent moon drop. Look tradional with these pearl and gold strings,,,,Gold,,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
Gold finish borla with stones,BO29ON,1200,BO29ON - 1200 (8).jpg,"BO29ON - 1200 (2).jpg, BO29ON - 1200 (6).jpg, BO29ON - 1200 (4).jpg",1,,,,Gorgeous kundan and gold finished round borla with a crescent moon drop. Look tradional with these pearl and gold strings,,,,Gold,,Jewellery,Borla,Women,Sri Shringarr Fashion Studio,,2,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Kundan and pearl set in copper alloy,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,30
