name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
"Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan Bracelet / Kada.
 BR54ON",BR54ON,7400,BR54ON-7400 (6).jpg,"BR54ON-7400 (2).jpg, BR54ON-7400 (4).jpg, BR54ON-7400 (8).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Semi Precious Kundan Bracelet / Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Bracelet / Kada can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
 •It has Copper metal base. 
 •Suitable for all age group of women.",,,,Gold & Silver,,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Kundan,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Bracelet / Kada,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan Bracelet / Kada.
 BR55ON",BR55ON,7400,BR55ON-7400 (6).jpg,"BR55ON-7400 (2).jpg, BR55ON-7400 (4).jpg, BR55ON-7400 (8).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Semi Precious Kundan Bracelet / Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Bracelet / Kada can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
 •It has Copper metal base. 
 •Suitable for all age group of women.",,,,Gold & Black,,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,0,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Kundan,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Bracelet / Kada,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan, Stones & Pearl Bracelet / Kada.
 BR56ON",BR56ON,8000,BR56ON-8000 (8).jpg,"BR56ON-8000 (2).jpg, BR56ON-8000 (6).jpg, BR56ON-8000 (4).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Semi Precious Kundan, Stones & Pearl Bracelet / Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Bracelet / Kada can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
 •It has Copper metal base. 
 •Suitable for all age group of women.",,,,Gold & White,,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,0,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Kundan/ Stones & Pearl,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Bracelet / Kada,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Pearls Bracelet/ Kada.
 BR57ON",BR57ON,450,BR57ON-450 (41).jpg,"BR57ON-450 (2).jpg, BR57ON-450 (12).jpg, BR57ON-450 (18).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Pearls Bracelet/ Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Bracelet / Kada can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
 •It has Copper metal base. 
 •Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Pearls,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Bracelet/ Kada,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Pearls and Golden Beads Bracelet/ Kada.
 BR58ON",BR58ON,850,BR58ON-850 (29).jpg,"BR58ON-850 (19).jpg, BR58ON-850 (3).jpg, BR58ON-850 (13).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Pearls and Golden Beads Bracelet/ Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Bracelet / Kada can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
 •It has Copper metal base. 
 •Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Golden beads, Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Bracelet/ Kada,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Golden Beads Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada.
 BR59ON",BR59ON,700,BR59ON-700 (21).jpg,"BR59ON-700 (20).jpg, BR59ON-700 (14).jpg, BR59ON-700 (2).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Golden Beads Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold.,,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Golden beads,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Hathphool/ Hathpanja/ Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada.
 BR60ON",BR60ON,700,BR60ON-700 (30).jpg,"BR60ON-700 (18).jpg, BR60ON-700 (12).jpg, BR60ON-700 (2).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Kundan,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Hathphool/ Hathpanja/ Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan and Pearl Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada.
 BR61ON",BR61ON,800,BR61ON-800 (22).jpg,"BR61ON-800 (20).jpg, BR61ON-800 (14).jpg, BR61ON-800 (4).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan and Pearl Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan, Pearls","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Hathphool/ Hathpanja/ Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Golden Beads Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada.
 BR62ON",BR62ON,900,BR62ON-900 (28).jpg,"BR62ON-900 (27).jpg, BR62ON-900 (21).jpg, BR62ON-900 (3).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Golden Beads Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Golden beads,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Hathphool/ Hathpanja/ Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,,,16
"Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan and Pearl Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada.
 BR63ON",BR63ON,850,BR63ON-850 (30).jpg,"BR63ON-850 (18).jpg, BR63ON-850 (12).jpg, BR63ON-850 (2).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Kundan and Pearl Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness/ Bracelet/ Kada,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan, Pearls","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,1,1 Hathphool/ Hathpanja/ Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,,,16
