name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T634AON",T634AON,3200,T634AON (1).jpg,"T634AON (2).jpg, T634AON (4).jpg",,,,,"•Sri Shringarr Fashion Antique Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold & pearl combination with blue enamel work for women designed by Yosshita & Neha.
•This design is inspired from the rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with a pair of jhumkis to complete the look.",,,,"Gold, White & Blue",,,,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Gold Beads, Pearl & Enamel work","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T635AON",T635AON,2400,T635AON (7).jpg,"T635AON (9).jpg, T635AON (2).jpg, T635AON (4).jpg",,,,,"•Sri Shringarr Fashion Antique Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold & pearl combination with red enamel work for women designed by Yosshita & Neha.
•This design is inspired from the rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with a pair of jhumkis to complete the look.",,,,"Gold, White & Red",,,,Women,Sri Shringarr Fashion Studio,,8,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Gold Beads, Pearl & Enamel work","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T635BON",T635BON,2400,T635BON (11).jpg,"T635BON (13).jpg, T635BON (6).jpg, T635BON (8).jpg",,,,,"•Sri Shringarr Fashion Antique Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold & pearl combination with blue enamel work for women designed by Yosshita & Neha.
•This design is inspired from the rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with a pair of jhumkis to complete the look.",,,,"Gold, White & Blue",,,,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Gold Beads, Pearl & Enamel work","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T636AON",T636AON,3000,T636AON  (9).jpg,"T636AON  (7).jpg, T636AON  (2).jpg, T636AON  (4).jpg",,,,,"•Sri Shringarr Fashion Kundan Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha. 
•Comes attached with a maang tikka.
•This design is inspired from rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with heavy earrings to complete the look.",,,,"Gold, Multi colour & White",,,,Women,Sri Shringarr Fashion Studio,,2,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Kundan, Gold Beads & Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T636BON",T636BON,3000,T636BON (13).jpg,"T636BON (6).jpg, T636BON (8).jpg",,,,,"•Sri Shringarr Fashion Kundan Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha. 
•Comes attached with a maang tikka.
•This design is inspired from rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with heavy earrings to complete the look.",,,,Gold & White,,,,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Kundan, Gold Beads & Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T636CON",T636CON,3000,T636CON (13).jpg,"T636CON (6).jpg, T636CON (8).jpg",,,,,"•Sri Shringarr Fashion Kundan Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha. 
•Comes attached with a maang tikka.
•This design is inspired from rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with heavy earrings to complete the look.",,,,Gold & Topaz,,,,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Kundan, Gold Beads & Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T637AON",T637AON,2200,T637AON (11).jpg,"T637AON (13).jpg, T637AON (6).jpg, T637AON (8).jpg",,,,,"•Sri Shringarr Fashion Kundan Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha. 
•Comes attached with a maang tikka.
•This design is inspired from rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with heavy earrings to complete the look.",,,,Gold & White,,,,Women,Sri Shringarr Fashion Studio,,0,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Kundan, Gold Beads & Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T638AON",T638AON,3000,T638AON  (9).jpg,"T638AON  (7).jpg, T638AON  (2).jpg, T638AON  (4).jpg",,,,,"•Sri Shringarr Fashion Kundan Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha. 
•Comes attached with a maang tikka.
•This design is inspired from rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with heavy earrings to complete the look.",,,,"Gold, Multi colour & White",,,,Women,Sri Shringarr Fashion Studio,,2,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Antique, Gold Beads & Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T638BON",T638BON,3000,T638BON  (9).jpg,"T638BON  (7).jpg, T638BON  (2).jpg, T638BON  (4).jpg",,,,,"•Sri Shringarr Fashion Kundan Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha. 
•Comes attached with a maang tikka.
•This design is inspired from rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with heavy earrings to complete the look.",,,,"Gold, Pink & White",,,,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Antique, Gold Beads & Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
"Sri Shringarr Fashion Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory for women 
T638CON",T638CON,3000,T638CON  (9).jpg,"T638CON  (7).jpg, T638CON  (2).jpg, T638CON  (4).jpg",,,,,"•Sri Shringarr Fashion Kundan Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha. 
•Comes attached with a maang tikka.
•This design is inspired from rajasthani culture.
•This will match well with lehengas and heavy ethnic outfits.
•Combine this Damini with heavy earrings to complete the look.",,,,"Gold, Pink, Green & White",,,,Women,Sri Shringarr Fashion Studio,,0,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Antique, Gold Beads & Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,inches,inches,3.5,4,1.5,,1,1 Damini with attached maangtikka,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,9
