name,sku_code,studio_price,main_image,ANGLE IMAGE,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,rent_price,categories_id,bust_size,hips_size,waist_size
Black evening net gown with golden embroidery.,YNG041,14000,YNG 041- 14000.JPG,YNG 041- 14000.JPG,1,,,,"The epitome of classic, this outfit checks all the right boxes in its black full length gown with gold dori and zardozi work body. Comes with an optional dupatta.
Size Zip.
Sleeveless.",,,,Black,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,40,24,36
Coral evening net gown with floral embroidery. ,YNG047,14800,YNG 047- 14800.JPG,YNG 047- 14800.JPG,1,,,,"The epitome of classic, this outfit checks all the right boxes in its coral full length net gown with gold dori and zardozi work body. Comes with an optional dupatta.
Size Zip.
Half length sleeves.",,,,Coral,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,40,24,36
Elegant maroon silk gown embraced with a speck of unique golden embroidery.,YNG048,5000,YNG 048-  5000.JPG,YNG 048-  5000.JPG,1,,,,"Underplayed and overly classic, get your hands on our maroon art silk gown with golden floral patterns embroidery. Comes with an optional dupatta.
Size Zip.
Half length sleeves.",,,,Maroon,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,40,24,38
Blue and Beautiful shibori satin gown with beautiful zardozi embroidery.,YNG051,5000,YNG 048-  5000.JPG,YNG 048-  5000.JPG,1,,,,"Blue and beige shibori silk sleeveless indo-western gown with golden embroidery sets a bar and makes a statement of its own. Comes with an optional dupatta.
Size Zip.
Sleeveless",,,,Blue,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,38,45,38
Red and Radiant stunningly embroidered red net gown.,YNG059,8200,YNG 059 8200.JPG,YNG 059 8200.JPG,1,,,,"Maroon sleeveless net gown with golden embroidery sets a bar and makes a statement of its own. Comes with an optional dupatta.
Size Zip.
Sleeveless",,,,Red,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,40,48,40
The Basic Navy Blue Gown silk gown with delicate hand embroidery.,YNG068,5390,YNG 068- 5390.JPG,YNG 068- 5390.JPG,1,,,,"Stand tall and picture perfect in this flowy, cascading cocktail gown in navy blue silk. The yoke is enhanced with hand embroidery. Comes with an optional dupatta.
Size Zip.
Full length sleeves.",,,,Navy Blue,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,44,50,40
The Poised Purple Silk Gown. ,YNG073,20000,YNG 073- 20000.JPG,YNG 073- 20000.JPG,1,,,,"Stand tall and picture perfect in this flowy, cascading cocktail gown in purple silk. The gown is enhanced with hand embroidery.
Back Zip.
Half length sleeves.",,,,Purple,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,48,54,44
Golden Lace Gown with exquisite blue embroidery on the neckline.,YNG075,30000,YNG075-30000.JPG,YNG075-30000.JPG,1,,,,"Glitter and gold are like ying and yang to each other. This  laced gown that shouts glam is right at your service. Looks like we found your red carpet look. The gown is enhanced with hand zardozi and emerald and sapphire coloured stones.
Back Zip.
Full length sleeves.
",,,,Golden,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,50,52,48
The Gleamy Glamorous Grey Georgette Gown.,YNG076,30000,YNG076-30000.JPG,YNG076-30000.JPG,1,,,,"Dazzle at your next event in this heavily embroidered grey georgette gown. The delicate ornamentation is a sure shot way to bag all the compliments. The gown is enhanced with resham and sequins embroidery.
Back Zip.
Full length sleeves.",,,,Grey ,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,48,56,44
Resham embroidered off white anarkali gown,YNG079,26000,YNG079-26000.JPG,YNG079-26000.JPG,1,,,,"This off white silk anarkali gown is an amalgamation of the dazzling gold zardozi with a soft resham embroidery. With an abundance of intricate embroidery, this outfit has the perfect bling for you to shine. Comes with an optional dupatta.
Side Zip.
Full length sleeves.",,,,Off White,,Apparels,Evening Gowns,Women,Sri Shirngarr Fashion Studio,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,4,46,48,42
