name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery  for Women. AM7ON,AM7ON,2900,AM7ON-2900 (7).jpg,"AM7ON-2900 (10).jpg, AM7ON-2900 (6).jpg, AM7ON-2900 (4).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery  designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Semi Precious Kundan & Beads & Stones.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•Looks elegant on a hair bun.",,,,Gold & White,,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan,  Beads  & Stones","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery  for Women.AM11ON,AM11ON,1850,AM11ON-1850(14) C.jpg,"AM11ON-1850(12) C.jpg, AM11ON-1850(8) C.jpg, AM11ON-1850(6) C.jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery  designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Semi Precious Kundan & Beads & Stones.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•Looks elegant on a hair bun.",,,,"Gold, White, Green & Red",,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,4,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan,  Beads  & Stones","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery  for Women.AM12ON,AM12ON,1900,AM12ON-1900 (5).jpg,"AM12ON-1900 (8).jpg, AM12ON-1900 (2).jpg, AM12ON-1900 (10).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery  designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Semi Precious Kundan & Beads & Stones.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•Looks elegant on a hair bun.",,,,"Gold, White, Green & Red",,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan,  Beads  & Stones","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery  for Women.AM8BON,AM8BON,2250,AM8BON-2250(8).jpg,"AM8BON-2250(10).jpg, AM8BON-2250(6).jpg, AM8BON-2250(4).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery  designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Semi Precious Kundan & Pearls & Stones.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•Looks elegant on a hair bun.",,,,Gold & White,,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan,  Beads  & Stones","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery/Veni for Women.V29AON,V29AON,1550,V29AON-1550 (7).jpg,"V29AON-1550 (6).jpg, V29AON-1550 (4).jpg, V29AON-1550 (2).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery/Veni designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Semi Precious Kundan, Enamel & Pearls & Stones.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•Looks elegant on a hair bun.",,,,"Gold, White, Green & Red",,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan, Enamel & Pearls","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery/Veni,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery/Veni for Women.V29BON,V29BON,1550,V29BON-1550 (7).jpg,"V29BON-1550 (6).jpg, V29BON-1550 (4).jpg, V29BON-1550 (2).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery/Veni designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Semi Precious Kundan & Pearls & Stones.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•Looks elegant on a hair bun.",,,,"Gold, White, Rhodolite,Green & Red",,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan, Enamel & Pearls","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery/Veni,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery/Veni for Women.V30ON,V30ON,1100,V30ON-1100 (7).jpg,"V30ON-1100 (6).jpg, V30ON-1100 (4).jpg, V30ON-1100 (2).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery/Veni designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Semi Precious Stones, Enamel & Pearls 
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•Looks elegant on a hair bun.",,,,"Gold, White, Green  & Red",,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,8,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Stones, Enamel & Pearls","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery/Veni,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery  for Women. FL414ON,FL414ON,300,FL414ON-300 (8).jpg,"FL414ON-300 (5).jpg, FL414ON-300 (3).jpg, FL414ON-300 (1).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery  designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Silver Diamond/Stones & Golden Plastic Roses.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•This can be secured to the hair using bobby pins.",,,,Gold & Silver,,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,14,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Plastic & Stone/Diamonds,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery  for Women.FL415ON ,FL415ON ,300,FL415ON-300 (8).jpg,"FL415ON-300 (3).jpg, FL415ON-300 (1).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery  designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Silver Diamond/Stones & Pearls.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•This can be secured to the hair using bobby pins.",,,,"Silver, Gold & White ",,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Stone/Diamonds & Pearls,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
Sri Shringarr Fashion Fancy Hair Accessory/Hair Brooch/Hair Jewellery  for Women.FL416ON,FL416ON,325,FL416ON-325 (8).jpg,"FL416ON-325 (8).jpg, FL416ON-325 (3).jpg, FL416ON-325 (1).jpg",1,,,,"•Sri Shringarr Fashion Womens  Hair Accessory/Hair Brooch/Hair Jewellery  designed by Yosshita & Neha. 
•Look feminine and elegant by adorning this in your hairstyle.
•Featuring attractive designs, this Hair Accessory/Hair Brooch/Hair Jewellery can look beautiful and can be tried with different hairstyles.
•So enhance your style quotient on almost any occasion by wearing this  Hair Accessory/Hair Brooch/Hair Jewellery . 
•These  are studded with Silver Diamond/Stones.
•It is flexible & easy to use . 
•Can be used by Newbies & Professionals as well. 
•Be creative to use in various type of hairstyles & give an elegant touch to your attire. 
•This has been intricately designed for all the hairstylists.
•This can be secured to the hair using bobby pins.",,,,Gold & Silver,,Jewellery/ Hair Accessories,Hair Accessories,Women,Sri Shringarr Fashion Studio,,13,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Stone/Diamonds,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,Cms,Inches,3.5,4,1.5,,1,1 Hair Accessory/Hair Brooch/Hair Jewellery,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,21
