name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
Sri Shringarr Fashion Traditional Micro Gold Polished Semi Precious Polki/Kundan Hath Phool Set for Women (HP118ON),HP118ON,1500,HP118ON-1500 (11).jpg,"HP118ON (2).jpg, HP118ON (3).jpg, HP118ON (1).jpg",1,,,,"•Sri shringarr fashion women's real look, traditional micro gold polished semi precious polki/kundan hath phool set designed by yosshita & neha. 
•If you want to mesmerize those beholders at the next wedding or engagement party, then this hath phool set from sri shringarr fashion is what you need. 
•Featuring attractive designs, this jewel set can look elegant and stylish when worn with anarkali, lehengas, and sarees. 
•So enhance your style quotient on almost any occasion by wearing this hath phool set. 
•This hath phool set is studded with red semi precious kundan/polki and chain.
•This hath phool set comes with temple style piece.
•Comes micro gold polished. 
•It has copper metal base. 
•Give a rich yet elegant touch to your attire. 
•Hook attached for locking. 

",,,,"Gold, Red",,Jewellery,Hath Phool,Women,Sri Shringarr Fashion Studio,,2,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan/Polki, Chain","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,2,2-Hath Phool,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Traditional Micro Gold Polished Semi Precious Polki/Kundan Hath Phool Set for Women (HP119ON),HP119ON,1500,HP119ON-1500  (14).jpg,"HP119ON (1).jpg, HP119ON (2).jpg, HP119ON (3).jpg",1,,,,"•Sri shringarr fashion women's real look, traditional micro gold polished semi precious polki/kundan hath phool set designed by yosshita & neha. 
•If you want to mesmerize those beholders at the next wedding or engagement party, then this hath phool set from sri shringarr fashion is what you need. 
•Featuring attractive designs, this jewel set can look elegant and stylish when worn with anarkali, lehengas, and sarees. 
•So enhance your style quotient on almost any occasion by wearing this hath phool set. 
•This hath phool set is studded with red and white semi precious kundan/polki and chain.
•Comes micro gold polished. 
•It has copper metal base. 
•Give a rich yet elegant touch to your attire. 
•Hook attached for locking. 

",,,,"Gold, Red, White",,Jewellery,Hath Phool,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan/Polki, Chain","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,2,2-Hath Phool,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Traditional Micro Gold Polished Semi Precious Polki/Kundan Hath Phool Set for Women (HP123ON),HP123ON,7000,HP123ON-7000 (9) C.jpg,"HP123ON-7000 (6) C.jpg, HP123ON-7000 (5) C.jpg, HP123ON-7000 (4) C.jpg",1,,,,"•Sri shringarr fashion women's real look, traditional micro gold polished semi precious polki/kundan hath phool set designed by yosshita & neha. 
•If you want to mesmerize those beholders at the next wedding or engagement party, then this hath phool set from sri shringarr fashion is what you need. 
•Featuring attractive designs, this jewel set can look elegant and stylish when worn with anarkali, lehengas, and sarees. 
•So enhance your style quotient on almost any occasion by wearing this hath phool set. 
•This hath phool set is studded with white semi precious kundan/polki and chain.
•Comes micro gold polished. 
•It has copper metal base. 
•Give a rich yet elegant touch to your attire. 
•Hook attached for locking. 
•Ideal for brides.

",,,,"Gold, White",,Jewellery,Hath Phool,Women,Sri Shringarr Fashion Studio,,2,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan/Polki, Chain, Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,2,2-Hath Phool,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Traditional Micro Gold Polished Semi Precious Polki/Kundan Hath Phool Set for Women (HP124ON),HP124ON,600,HP124ON (5).jpg,"HP124ON (4).jpg, HP124ON (3).jpg, HP124ON (1).jpg",1,,,,"•Sri shringarr fashion women's real look, traditional micro gold polished semi precious polki/kundan hath phool set designed by yosshita & neha. 
•If you want to mesmerize those beholders at the next wedding or engagement party, then this hath phool set from sri shringarr fashion is what you need. 
•Featuring attractive designs, this jewel set can look elegant and stylish when worn with anarkali, lehengas, and sarees. 
•So enhance your style quotient on almost any occasion by wearing this hath phool set. 
•This hath phool set is studded with red semi precious kundan/polki and pearls.
•Comes micro gold polished with enamel work.
•It has copper metal base. 
•Give a rich yet elegant touch to your attire. 
•Hook attached for locking. 
",,,,"Gold, White",,Jewellery,Hath Phool,Women,Sri Shringarr Fashion Studio,,11,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Semi Precious Kundan/Polki, Chain, Pearl","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,2,2-Hath Phool,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness. HP152ON,HP152ON,550,HP152ON-550 (22).jpg,"HP152ON-550 (12).jpg, HP152ON-550 (11).jpg, HP152ON-550 (10).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a Copper metal base. 
•Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Stones & Pearls,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,1 pair of Hathphool/Hathpanja/Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness. HP153ON,HP153ON,650,HP153ON-650 (31).jpg,"HP153ON-650 (10) (deleted b'27839f1b7f3201122135d50cfd74b8dc').jpg, HP153ON-650 (5) (deleted b'3647c341dfed964a1e21c72a298109c4').jpg, HP153ON-650 (4).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a Copper metal base. 
•Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Stones & Pearls,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,1 pair of Hathphool/Hathpanja/Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones Hathphool/Hathpanja/Hand Harness. HP154ON,HP154ON,700,HP154ON-700 (45) (deleted b'1be4e66950e36a9911838d07ce802804').jpg,"HP154ON-700 (29) (deleted b'028bd9be858c952f74a250a52cdbd297').jpg, HP154ON-700 (27) (deleted b'08a8b3611ae426c9d53ccdba5adaa58d').jpg, HP154ON-700 (26) (deleted b'468a277218e027f109f8b52662bc5257').jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones Hathphool/Hathpanja/Hand Harness designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a Copper metal base. 
•Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Stones ,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,1 pair of Hathphool/Hathpanja/Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones Hathphool/Hathpanja/Hand Harness. HP155ON,HP155ON,700,HP155ON-700 (16) (deleted b'c995ac5eababa63fce9b4a345289e2d9').jpg,"HP155ON-700 (14).jpg, HP155ON-700 (11).jpg, HP155ON-700 (10) (deleted b'21416cb64ff0edbb7641d030c2e8106b').jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones Hathphool/Hathpanja/Hand Harness designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a Copper metal base. 
•Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Stones ,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,1 pair of Hathphool/Hathpanja/Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness. HP156ON,HP156ON,650,HP156ON-650 (17) (deleted b'706a4324f7c71ed25793bf9324ef5bbc').jpg,"HP156ON-650 (9).jpg, HP156ON-650 (7) (deleted b'8c55ef41633c9a5fc0e0ce9d4a11e7bc').jpg, HP156ON-650 (4) (deleted b'd4ddc336a1fbeb39c5b642bdbf5e35be').jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a Copper metal base. 
•Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Stones & Pearls,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,1 pair of Hathphool/Hathpanja/Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness. HP157ON,HP157ON,650,HP157ON-650 (31).jpg,"HP157ON-650 (8).jpg, HP157ON-650 (6).jpg, HP157ON-650 (4).jpg",1,,,,"•Sri Shringarr Fashion Fancy Micro Gold Polished Semi Precious Stones & Pearls Hathphool/Hathpanja/Hand Harness designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Hathphool/Hathpanja/Hand Harness with 1 finger ring can look elegant and stylish when worn with ethnic & modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a Copper metal base. 
•Suitable for all age group of women.",,,,"Gold, White",,Jewellery,Hathphool/ Hathpanja/ Hand harness,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,Semi Precious Stones & Pearls,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inch,3.5,4,1.5,,1,1 pair of Hathphool/Hathpanja/Hand harness,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,17
