name,sku_code,studio_price,Main image,Angle image,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,rent_price,categories_id,bust_size,hips_size,waist_size
Cresent Shaped Kundan Clip On Nath,N516ON,800,N516ON-800(1).jpg,"N516ON-800(1).jpg, N516ON-800(1).jpg, N516ON-800(2).jpg, N516ON-800(3).jpg",1,,,,,,,,Gold,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Semi circled Kundan Nath with studded Moti,N514ON,600,N514ON-600(1).jpg,N514ON-600(1).jpg,1,,,,,,,,Gold,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Small Red Kundan Studded Nose Ring,N513ON,1100,N513ON-1100(1).jpg,"N513ON-1100(1).jpg, N513ON-1100(1).jpg, N513ON-1100(2).jpg, N513ON-1100(3).jpg",1,,,,,,,,Gold&Pink,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Small Kundan Studded Nose Ring,N513AON,1100,N513AON-1100(1).jpg,"N513AON-1100(1).jpg, N513AON-1100(1).jpg, N513AON-1100(2).jpg, N513AON-1100(3).jpg",1,,,,,,,,Gold,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Fancy Red Dew Drop Clip On Nath,N518ON,500,N518ON-500(1).jpg,"N518ON-500(1).jpg, N518ON-500(1).jpg, N518ON-500(2).jpg, N518ON-500(3).jpg",1,,,,,,,,Gold&Red,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Kundan Dew Drop Shapped Traditional Clip On Nath,N518AON,500,N518AON-500(1).jpg,"N518AON-500(1).jpg, N518AON-500(1).jpg, N518AON-500(2).jpg, N518AON-500(3).jpg",1,,,,,,,,Gold,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Kundan Leaf Nose Pins,N517ON,600,N517ON-600(1).jpg,"N517ON-600(1).jpg, N517ON-600(1).jpg, N517ON-600(2).jpg, N517ON-600(3).jpg",1,,,,,,,,Gold,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Periwinkle Clip On Nath,N515ON,800,N515ON-800(1).jpg,"N515ON-800(1).jpg, N515ON-800(1).jpg, N515ON-800(2).jpg, N515ON-800(3).jpg",1,,,,,,,,Gold&Pink,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Kundan and Pearls Nose Ring,N499AON,1250,N499AON-1250(1).jpg,"N499AON-1250(1).jpg, N499AON-1250(1).jpg, N499AON-1250(2).jpg, N499AON-1250(3).jpg",1,,,,,,,,"Gold,Green&Red",,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
The Hexagon Kundan Nose Ring,N505ON,900,N505ON-900(1).jpg,"N505ON-900(1).jpg, N505ON-900(1).jpg, N505ON-900(2).jpg, N505ON-900(3).jpg",1,,,,,,,,Gold,,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
Peacock Neck Beaded Nath,N498ON,1200,N498ON-1200(1).jpg,"N498ON-1200(1).jpg, N498ON-1200(1).jpg, N498ON-1200(2).jpg, N498ON-1200(3).jpg",1,,,,,,,,"Gold,Red",,Jewellery,Nath,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
